Episode,Episode Reward,Action Type
298,500.0,Exploit
299,500.0,Exploit
300,500.0,Exploit
301,500.0,Exploit
302,500.0,Exploit
303,500.0,Exploit
304,500.0,Exploit
305,500.0,Exploit
306,500.0,Exploit
307,500.0,Exploit
308,500.0,Exploit
309,500.0,Exploit
310,500.0,Exploit
311,500.0,Exploit
312,500.0,Exploit
313,500.0,Exploit
314,500.0,Exploit
315,500.0,Exploit
316,500.0,Exploit
317,500.0,Exploit
318,500.0,Exploit
319,500.0,Exploit
320,500.0,Exploit
321,500.0,Exploit
322,500.0,Exploit
323,500.0,Exploit
324,500.0,Exploit
325,500.0,Exploit
326,500.0,Exploit
327,500.0,Exploit
328,500.0,Exploit
329,500.0,Exploit
330,500.0,Exploit
331,500.0,Exploit
332,500.0,Exploit
333,500.0,Exploit
334,500.0,Exploit
335,500.0,Exploit
336,500.0,Exploit
337,500.0,Exploit
338,500.0,Exploit
339,500.0,Exploit
340,500.0,Exploit
341,500.0,Exploit
342,500.0,Exploit
343,500.0,Exploit
344,500.0,Exploit
345,500.0,Exploit
346,500.0,Exploit
347,500.0,Exploit
348,500.0,Exploit
349,500.0,Exploit
